Top queries,Clicks,Impressions,CTR,Position,Position Group
supported living services,0,1,0.0,1.0,Top 3
wa disability services,0,1,0.0,1.0,Top 3
independent living program,0,1,0.0,2.0,Top 3
independent living program for disabled,0,1,0.0,2.0,Top 3
living living,0,1,0.0,2.0,Top 3
ndis home care providers,0,1,0.0,2.0,Top 3
"ndis provider""",0,1,0.0,2.0,Top 3
ndis telephone number,0,1,0.0,2.0,Top 3
sda housing sydney,0,1,0.0,2.0,Top 3
sda loan,0,1,0.0,2.0,Top 3
sda loans,0,1,0.0,2.0,Top 3
wheelchair accommodation,0,1,0.0,2.0,Top 3
360 ndis,0,1,0.0,3.0,Top 3
access living,0,1,0.0,3.0,Top 3
afelphi,0,1,0.0,3.0,Top 3
disablity support worker,0,1,0.0,3.0,Top 3
disbaility,0,1,0.0,3.0,Top 3
independent living for disabled,0,1,0.0,3.0,Top 3
n.d.i.s,0,1,0.0,3.0,Top 3
national disability services,0,1,0.0,3.0,Top 3
ndia provider,0,1,0.0,3.0,Top 3
ndis approved housing,0,1,0.0,3.0,Top 3
ndis call,0,1,0.0,3.0,Top 3
ndis provider number,0,1,0.0,3.0,Top 3
ndis provider services,0,1,0.0,3.0,Top 3
ndis specialist disability accommodation design standard,0,1,0.0,3.0,Top 3
ndis.,0,1,0.0,3.0,Top 3
ndis?,0,1,0.0,3.0,Top 3
sda ndia,0,1,0.0,3.0,Top 3
sil?,0,1,0.0,3.0,Top 3
supported indepedent living,0,1,0.0,3.0,Top 3
/sil,0,1,0.0,4.0,4-10
ndis aged care,0,1,0.0,4.0,4-10
ndis australia,0,1,0.0,4.0,4-10
ndis service provider,0,1,0.0,4.0,4-10
sda approval,0,1,0.0,4.0,4-10
sda housing,0,1,0.0,4.0,4-10
sda housing adelaide,0,1,0.0,4.0,4-10
sil solutions,0,1,0.0,4.0,4-10
accommodation for disabled adults,0,1,0.0,5.0,4-10
accommodation for people with disabilities,0,1,0.0,5.0,4-10
aged care supported living,0,1,0.0,5.0,4-10
contact ndis,0,1,0.0,5.0,4-10
ndis home and living supports,0,1,0.0,5.0,4-10
sda in ndis,0,1,0.0,5.0,4-10
"""ndis aged care",0,1,0.0,6.0,4-10
adelphi 2021,0,1,0.0,6.0,4-10
nursing specialty,0,1,0.0,6.0,4-10
sda disability housing,0,1,0.0,6.0,4-10
sda housing brisbane,0,1,0.0,6.0,4-10
sda smart homes reviews,0,1,0.0,6.0,4-10
sil housing ndis,0,1,0.0,6.0,4-10
abilities expo 2021,0,1,0.0,7.0,4-10
adelphi management,0,1,0.0,7.0,4-10
robust housing meaning,0,1,0.0,10.0,4-10
rockingham disability expo,0,1,0.0,10.0,4-10
sil.,0,1,0.0,10.0,4-10
accommodation for disability,0,1,0.0,11.0,11-20
adelp,0,1,0.0,11.0,11-20
adelphi ceo,0,1,0.0,11.0,11-20
sda call,0,1,0.0,11.0,11-20
disability specialists,0,1,0.0,12.0,11-20
indepent living,0,1,0.0,12.0,11-20
coordinators,0,1,0.0,13.0,11-20
home for the disabled near me,0,1,0.0,13.0,11-20
atsa 2021,0,1,0.0,16.0,11-20
sda application ndis,0,1,0.0,18.0,11-20
ndis expo perth,0,1,0.0,19.0,11-20
ndis short term accommodation guidelines,0,1,0.0,19.0,11-20
perth disability expo,0,1,0.0,19.0,11-20
atsa perth,0,1,0.0,22.0,21-50
sda category,0,1,0.0,29.0,21-50
sil sda ndis,0,1,0.0,33.0,21-50
senior housing,0,1,0.0,34.0,21-50
what is an sil ndis,0,1,0.0,35.0,21-50
sda assessment,0,1,0.0,38.0,21-50
independent living bunbury,0,1,0.0,40.0,21-50
#NAME?,0,1,0.0,41.0,21-50
clicks adelphi,0,1,0.0,41.0,21-50
intellectual disability support services,0,1,0.0,41.0,21-50
who is sil,0,1,0.0,41.0,21-50
homes for independent living,0,1,0.0,42.0,21-50
independent retirement living,0,1,0.0,43.0,21-50
ndia perth,0,1,0.0,44.0,21-50
does ndis pay for accommodation,0,1,0.0,45.0,21-50
sda ceo,0,1,0.0,45.0,21-50
disability sil,0,1,0.0,46.0,21-50
independent home care,0,1,0.0,48.0,21-50
individual living options,0,1,0.0,48.0,21-50
perth long term accommodation,0,1,0.0,48.0,21-50
what is sil funding,0,1,0.0,49.0,21-50
sda apartment,0,1,0.0,51.0,51+
ndis sda fact sheet,0,1,0.0,53.0,51+
house sharing perth,0,1,0.0,56.0,51+
disability providers perth,0,1,0.0,57.0,51+
perth short term rental,0,1,0.0,57.0,51+
treeby nursing home,0,1,0.0,57.0,51+
"""houses""",0,1,0.0,58.0,51+
share housing perth,0,1,0.0,58.0,51+
apartments perth short stay,0,1,0.0,60.0,51+
flintwood disability services,0,1,0.0,61.0,51+
what is ndis wa,0,1,0.0,63.0,51+
sda virtual,0,1,0.0,65.0,51+
weekly accommodation perth,0,1,0.0,65.0,51+
assisted living disability,0,1,0.0,66.0,51+
erskine wa,0,1,0.0,66.0,51+
sil home,0,1,0.0,66.0,51+
sda options,0,1,0.0,67.0,51+
short term living,0,1,0.0,67.0,51+
short term rentals in perth,0,1,0.0,67.0,51+
home living expo,0,1,0.0,68.0,51+
sda location,0,1,0.0,68.0,51+
ndis application wa,0,1,0.0,69.0,51+
what is ndis,0,1,0.0,69.0,51+
best independent living communities,0,1,0.0,70.0,51+
disability agencies perth,0,1,0.0,70.0,51+
disability expo,0,1,0.0,71.0,51+
shared supported accommodation,0,1,0.0,71.0,51+
disability houses for rent near me,0,1,0.0,72.0,51+
independent living houses,0,1,0.0,72.0,51+
ndis services wa,0,1,0.0,73.0,51+
short term accommodations,0,1,0.0,73.0,51+
expo perth,0,1,0.0,75.0,51+
independent community living,0,1,0.0,75.0,51+
ndis eligibility wa,0,1,0.0,75.0,51+
personal care assistance,0,1,0.0,76.0,51+
share house perth,0,1,0.0,76.0,51+
accommodation peel region wa,0,1,0.0,77.0,51+
long term stay perth,0,1,0.0,77.0,51+
sda structures,0,1,0.0,78.0,51+
short term work perth,0,1,0.0,79.0,51+
www.sil,0,1,0.0,81.0,51+
independent living australia,0,1,0.0,82.0,51+
living in mandurah,0,1,0.0,82.0,51+
perth expo centre,0,1,0.0,82.0,51+
nulsen disability services,0,1,0.0,83.0,51+
ndis support wa,0,1,0.0,84.0,51+
independent living communities,0,1,0.0,86.0,51+
long term accommodation bunbury,0,1,0.0,86.0,51+
ndis sil team,0,1,0.0,86.0,51+
sda resources,0,1,0.0,87.0,51+
self contained apartments perth,0,1,0.0,87.0,51+
what is specialist disability accommodation,0,1,0.0,87.0,51+
long term accommodation services,0,1,0.0,88.0,51+
service apartments perth,0,1,0.0,88.0,51+
short stay apartment perth,0,1,0.0,88.0,51+
beauty expo perth,0,1,0.0,89.0,51+
perthexpo,0,1,0.0,89.0,51+
short term accommodation subiaco,0,1,0.0,91.0,51+
adelphi laudale,0,1,0.0,92.0,51+
ndis sil quote,0,1,0.0,92.0,51+
old age care homes near me,0,1,0.0,92.0,51+
serviced appartments perth,0,1,0.0,92.0,51+
best it service provider perth,0,1,0.0,93.0,51+
exhibitions in perth,0,1,0.0,93.0,51+
home care wa,0,1,0.0,93.0,51+
home living exhibition 2021,0,1,0.0,93.0,51+
living in perth australia,0,1,0.0,93.0,51+
perth home care services,0,1,0.0,93.0,51+
short term accommodation joondalup,0,1,0.0,93.0,51+
sda vacancies,0,1,0.0,94.0,51+
adelphi health services,0,1,0.0,95.0,51+
ndis help with housing,0,1,0.0,95.0,51+
aged care residences,0,1,0.0,96.0,51+
independent living options,0,1,0.0,96.0,51+
outdoor living mandurah,0,1,0.0,96.0,51+
short term accommodation ndis providers,0,1,0.0,96.0,51+
abode living,0,1,0.0,97.0,51+
disabled houses,0,1,0.0,97.0,51+
independent living units adelaide,0,1,0.0,97.0,51+
respite care homes in perth,0,1,0.0,97.0,51+
disability support accommodation,0,1,0.0,98.0,51+
fifo short term accommodation perth,0,1,0.0,98.0,51+
independent living centres,0,1,0.0,98.0,51+
personal services perth wa,0,1,0.0,98.0,51+
short term furnished rentals perth,0,1,0.0,98.0,51+
independent living solution,0,1,0.0,99.0,51+
dali accommodation,0,1,0.0,100.0,51+
independent retirement living adelaide,0,1,0.0,100.0,51+
residential respite high care,0,1,0.0,100.0,51+
disabled independent living housing,0,1,0.0,101.0,51+
respite care ndis,0,1,0.0,101.0,51+
adelphi suites,0,1,0.0,102.0,51+
disability employment services providers perth,0,1,0.0,102.0,51+
disability house,0,1,0.0,102.0,51+
home care perth wa,0,1,0.0,102.0,51+
long term accommodation near me,0,1,0.0,102.0,51+
independent living hobart,0,1,0.0,128.0,51+
bold living,0,1,0.0,133.0,51+
disabled living manchester,0,1,0.0,134.0,51+
disability insurance perth,0,1,0.0,141.0,51+
housing for people with disabilities,0,1,0.0,196.0,51+
disability support providers,0,1,0.0,199.0,51+
live in specialist care,0,1,0.0,276.0,51+
